Fecha;"Temperatura media (_C)";"Humedad media (%)";"Precipitaciones media (l/m2)";"Viento medio (km/h) "
01/01/15;6,1;64;0;14,2
02/01/15;6,9;66;0;10,4
03/01/15;8,2;71;0;9,8
04/01/15;10,6;79;0;8
05/01/15;9;77;0;11,1
06/01/15;9,1;76;0;9,6
07/01/15;9,1;77;0;12,9
08/01/15;9,5;73;0;12,1
09/01/15;11;74;0;11,3
10/01/15;9,7;84;0;4,4
11/01/15;10,9;80;1,4;8,1
12/01/15;11,5;53;0;22,8
13/01/15;13,6;50;0;26,7
14/01/15;12,1;56;0;13,8
15/01/15;13,7;56;8,8;22,4
16/01/15;8,4;73;6;10
17/01/15;8,6;64;0,6;9,6
18/01/15;9,3;59;6,9;18,3
19/01/15;8;64;5,7;19,9
20/01/15;6,6;75;1,7;11,4
21/01/15;7;77;19,4;11,6
22/01/15;7,6;79;13,7;13,4
23/01/15;7,2;80;0,7;6,9
24/01/15;6,4;84;2,3;11,8
25/01/15;7,5;80;0;3,4
26/01/15;8,3;75;0;6,5
27/01/15;9,5;89;7,8;8,2
28/01/15;10,1;82;0,1;6,8
29/01/15;12,1;70;7,8;16,5
30/01/15;10;90;77,2;19,8
31/01/15;7,9;73;25,8;20,4
01/02/15;7,1;70;12,6;19,9
02/02/15;7,6;73;5,5;15,4
03/02/15;5,7;82;17,1;13,4
04/02/15;3,3;83;22,8;10,6
05/02/15;5,1;70;12;14,2
06/02/15;2,3;93;19,1;3
07/02/15;3;90;1,3;3
08/02/15;5;77;0;7,3
09/02/15;6,2;66;0;6,7
10/02/15;6,7;71;0,2;12,1
11/02/15;7,5;67;0;16,2
12/02/15;10,4;85;0;17,9
13/02/15;10,6;;0;15,4
14/02/15;9,6;;9,7;12
15/02/15;10,6;;19,2;8,5
16/02/15;10,3;;15,3;11
17/02/15;9,6;;5,3;18,6
18/02/15;7,7;;0;4,4
19/02/15;8,7;;0;12,1
20/02/15;10,7;61;3,6;17,5
21/02/15;9,3;75;19,7;22,1
22/02/15;9,5;81;6,3;12,2
23/02/15;10,7;77;16;14,5
24/02/15;8,2;77;33,6;18,1
25/02/15;11,2;82;17,7;22,4
26/02/15;12,2;87;22,5;17,3
27/02/15;9,6;72;3,1;17,2
28/02/15;10,5;87;4,7;10,6
01/03/15;15,2;78;0,3;11,2
02/03/15;12,5;92;3,2;7,9
03/03/15;11,7;86;4,7;6,2
04/03/15;9,3;76;15;14,1
05/03/15;8,2;67;0,1;5
06/03/15;9,5;65;0;9,3
07/03/15;12,2;60;0;10,9
08/03/15;10,8;70;0;9,1
09/03/15;10,9;67;0;11,7
10/03/15;11,1;69;0;8,5
11/03/15;10,8;85;0;5,1
12/03/15;11,1;79;0;8,9
13/03/15;10,5;72;5,2;16,3
14/03/15;8,5;76;17,7;13
15/03/15;7,6;78;6,6;7,1
16/03/15;9;71;0;11,1
17/03/15;13,7;48;0;11,1
18/03/15;12,4;63;0,3;5,5
19/03/15;11,9;82;3,1;7,7
20/03/15;10,3;77;0;9,9
21/03/15;9,4;88;7,5;5,9
22/03/15;9,6;77;5,8;12,1
23/03/15;7,3;88;26,3;3,7
24/03/15;8,7;84;10,9;9,8
25/03/15;8,6;67;3,1;17,4
26/03/15;10,5;83;11,3;11,8
27/03/15;12;90;9,1;8,6
28/03/15;12,8;84;0;8,7
29/03/15;14;76;0;7,1
30/03/15;14,2;72;0;14,9
31/03/15;13,7;78;0,2;12,7
01/04/15;11,9;69;0,2;10,8
02/04/15;10,9;66;0;10,7
03/04/15;11,4;73;0;13
04/04/15;11,2;80;1,3;9,4
05/04/15;11,6;75;0;6,7
06/04/15;10,8;64;0;7,9
07/04/15;12,8;58;0;9,5
08/04/15;17,7;33;0;18
09/04/15;17,6;36;0;12,8
10/04/15;15,2;65;4,5;12,5
11/04/15;14,8;74;0,7;5,6
12/04/15;18,2;56;0;11,4
13/04/15;21,3;40;0;10,1
14/04/15;23,3;32;0;12,9
15/04/15;22,1;26;0;15,1
16/04/15;15,3;72;1,9;6
17/04/15;14,5;82;10,4;5,1
18/04/15;13,9;81;3;10,7
19/04/15;13,3;74;0;11,5
20/04/15;13,9;71;0;11,7
21/04/15;17,9;60;0;9,3
22/04/15;18,9;56;21,7;10,8
23/04/15;15,2;77;0;7,2
24/04/15;15,5;76;0;12,3
25/04/15;19,9;56;0,1;12
26/04/15;16,7;70;7;10,9
27/04/15;14,1;76;6;15,8
28/04/15;13,6;59;0;8,6
29/04/15;13,3;72;0,1;8
30/04/15;18,3;57;0;15,1
01/05/15;19,6;65;0;17,6
02/05/15;22,6;62;0;12,5
03/05/15;21;62;3,4;14,4
04/05/15;23,2;56;0;13,7
05/05/15;15,7;66;2,5;12,4
06/05/15;14,1;68;0;8
07/05/15;20,5;50;0;10,7
08/05/15;19,5;56;0,2;9,9
09/05/15;16,5;79;0;7,5
10/05/15;20,4;66;0;12,6
11/05/15;15,9;86;0;9,3
12/05/15;16,4;84;0;9,1
13/05/15;16,9;82;0;9,2
14/05/15;15,4;72;0;13,9
15/05/15;13;83;13,5;19,9
16/05/15;14,3;83;0,2;11,1
17/05/15;15,2;83;2,9;9,2
18/05/15;13,6;81;0,8;12,2
19/05/15;13,1;77;6;13
20/05/15;12,6;80;15,8;12,3
21/05/15;12,9;75;1,8;10,9
22/05/15;13,6;73;1,1;9,6
23/05/15;14,5;73;0;9,9
24/05/15;15,7;83;0,1;13,3
25/05/15;15,5;83;0,2;15,2
26/05/15;15,3;79;0;13,1
27/05/15;16,2;79;0;10,4
28/05/15;16,3;77;0;11,8
29/05/15;16,5;72;0;9
30/05/15;16,5;71;0;10
31/05/15;18,1;70;0;12,5
01/06/15;18,1;83;0;8,2
02/06/15;18,8;79;0;8,4
03/06/15;19,1;78;0;5,7
04/06/15;24,6;64;0;10,8
05/06/15;19,1;80;0,3;16,9
06/06/15;17,2;88;0;5,3
07/06/15;19,1;80;0;7,9
08/06/15;19,3;81;0;10,8
09/06/15;17,4;81;0,7;7,9
10/06/15;17,1;89;6,2;4,9
11/06/15;19,1;82;3,9;12,1
12/06/15;17,7;85;2,6;6,2
13/06/15;17,9;85;4,6;8,5
14/06/15;17,1;75;0;10,4
15/06/15;17,1;81;23,3;11,9
16/06/15;16,6;73;0;13,4
17/06/15;17,6;76;0;11
18/06/15;18,2;75;0,3;9,5
19/06/15;17,6;84;0,5;8,2
20/06/15;18,8;75;0;8,1
21/06/15;20;70;0;10,1
22/06/15;20,3;77;0;11,5
23/06/15;20,2;69;0;8,9
24/06/15;20,3;69;0;8,1
25/06/15;22,5;66;0;11
26/06/15;20,3;81;0;9,9
27/06/15;21,4;75;0;7,8
28/06/15;20,8;80;0;8
29/06/15;23,2;75;0;7,6
30/06/15;24,4;72;0;15,1
01/07/15;21,5;80;0,5;10,8
02/07/15;20,2;86;0,1;11,1
03/07/15;25,8;67;0,1;13,1
04/07/15;22,5;71;0;7,5
05/07/15;20,6;89;0,1;7,8
06/07/15;22,4;78;0;10
07/07/15;21,7;77;1;11,5
08/07/15;19,9;75;1,1;9,3
09/07/15;21;64;0;7,5
10/07/15;22,4;65;0;19,2
11/07/15;20,9;72;0;7,3
12/07/15;20,6;77;0,1;6
13/07/15;20,8;72;0;9,7
14/07/15;21,8;73;0;7,6
15/07/15;21,8;82;0;7,7
16/07/15;21,9;84;0;9,2
17/07/15;22,2;79;0,1;9,3
18/07/15;23;82;0,7;8,8
19/07/15;24;75;0;9,7
20/07/15;25;69;0;10,5
21/07/15;22,6;89;9,1;6,8
22/07/15;21,5;87;0,9;8,9
23/07/15;22,4;74;0;7,2
24/07/15;21,6;75;0,2;14,1
25/07/15;19,8;66;0;11,5
26/07/15;21,8;65;0;15
27/07/15;21,1;75;0;11,1
28/07/15;22,5;67;0;9,3
29/07/15;19,3;87;4,1;9,6
30/07/15;18,5;75;0,6;5,4
31/07/15;17,8;83;8,1;5,5
01/08/15;19,4;70;0;8,5
02/08/15;24,6;60;0;14,4
03/08/15;21,7;73;0;8,9
04/08/15;19,7;88;2;5,7
05/08/15;21,4;78;0;15
06/08/15;22;74;0;10,2
07/08/15;20,1;85;0,4;8,8
08/08/15;18,8;78;1,1;9,6
09/08/15;20,7;68;0;8,9
10/08/15;22,9;66;0;12,6
11/08/15;22;80;0;10,2
12/08/15;22,5;81;0;11
13/08/15;21,4;74;0,7;13,2
14/08/15;19,8;64;3,3;15,5
15/08/15;18,8;78;0,6;9,1
16/08/15;18,6;75;0;10,3
17/08/15;19,7;74;0,1;7,3
18/08/15;20,1;72;0;8,1
19/08/15;20,3;66;0;8,6
20/08/15;21,1;69;0;11,2
21/08/15;21,5;80;0;13,1
22/08/15;21;87;14,1;7,8
23/08/15;22,9;57;0,3;12,7
24/08/15;20,2;56;0;13,6
25/08/15;22,2;58;0;11,6
26/08/15;23,4;62;0;10,2
27/08/15;26,6;55;0;9,9
28/08/15;22,5;80;0;8,5
29/08/15;22,6;84;0;10,9
30/08/15;26;68;1,4;9,3
31/08/15;22,6;84;12,7;14,7
01/09/15;18,9;80;5,5;8,7
02/09/15;18;77;2,9;7,2
03/09/15;17,8;82;2,2;8,1
04/09/15;16,9;82;2,5;6
05/09/15;17,4;75;0;6,9
06/09/15;17,4;70;0;9,3
07/09/15;17,2;70;0;10,9
08/09/15;17,9;69;0;11,8
09/09/15;19,2;76;0;14,8
10/09/15;19,6;82;0;7,1
11/09/15;19,9;77;0;11,4
12/09/15;20,1;81;0;5
13/09/15;20;74;1;10,4
14/09/15;17,8;69;2,6;10,2
15/09/15;19,5;65;3,3;21,4
16/09/15;23,4;53;0;22,1
17/09/15;17;68;1,1;13,2
18/09/15;16,5;71;0;12,7
19/09/15;17,5;73;0;9,1
20/09/15;17,8;72;0;9
21/09/15;17,3;78;0;12,1
22/09/15;17,4;77;2,7;11,9
23/09/15;16,2;91;13,3;6,4
24/09/15;18,5;79;0,1;6,3
25/09/15;17,9;77;0;8
26/09/15;18,5;79;0;6,8
27/09/15;17,3;79;0;8,9
28/09/15;17,9;76;0;9,6
29/09/15;16,5;82;0;9,7
30/09/15;19,1;72;0;6,7
01/10/15;18,2;76;60,9;13,2
02/10/15;14,9;82;18,6;8,6
03/10/15;14,5;74;0,3;11,3
04/10/15;19,8;67;1;15,2
05/10/15;26,4;47;0;18,6
06/10/15;19,7;67;13,8;19,2
