date;descripcionEs;descriptionEu;municipalityEs;MunicipalityEu;territory;municipalitycode;latwgs84;lonwgs84
2022/1/1;Año nuevo;Urteberri eguna;CAE;EAE;Todos/denak;;;
2022/1/6;Epifanía del Señor;Errege Magoen eguna;CAE;EAE;Todos/denak;;;
2022/4/14;Jueves Santo;Ostegun Santua;CAE;EAE;Todos/denak;;;
2022/4/15;Viernes Santo;Ostiral Santua;CAE;EAE;Todos/denak;;;
2022/4/18;Lunes de Pascua de Resurrección;Pazko Astelehena;CAE;EAE;Todos/denak;;;
2022/7/25;Santiago Apóstol;Santiago Apostolua;CAE;EAE;Todos/denak;;;
2022/8/15;Asunción de la Virgen;Ama Birjinaren Jasokundea;CAE;EAE;Todos/denak;;;
2022/9/6;V Centenario de la Vuelta al Mundo capitaneada por Juan Sebastián Elcano;Juan Sebastian Elkano kapitain zela munduari bira eman izanaren V. Mendeurrena;CAE;EAE;Todos/denak;;;
2022/10/12;Fiesta Nacional;Espainiako Jai Nazionala;CAE;EAE;Todos/denak;;;
2022/11/1;Todos los Santos;Santu Guztien Eguna;CAE;EAE;Todos/denak;;;
2022/12/6;Día de la Constitución;Konstituzio Eguna;CAE;EAE;Todos/denak;;;
2022/12/8;Inmaculada Concepción;Andre Maria Sortzez Garbiaren eguna;CAE;EAE;Todos/denak;;;
2022/7/4;San Valentín de Berriotxoa;San Balendin Berrio-Otxoa;Bizkaia;Bizkaia;Bizkaia;;;
2022/9/9;Nuestra Señora de Aránzazu;Arantzazuko Amaren eguna;Gipuzkoa;Gipuzkoa;Gipuzkoa;;;
2022/4/28;San Prudencio  ;San Prudentzio;Álava - Araba;Álava - Araba;Álava - Araba;;;
2022/2/3;Fiesta local;Tokiko jai-eguna;Abadiño  ;Abadiño  ;Bizkaia;1;43,150000;-2,610278
2022/6/30;Santa Lucía;Santa Luzia;Abanto y Ciérvana - Abanto Zierbena ;Abanto y Ciérvana-Abanto Zierbena ;Bizkaia;2;43,316389;-3,083333
2022/5/26;La Ascensión  ;Asentzio Eguna  ;Ajangiz;Ajangiz;Bizkaia;911;43,301000;-2,671000
2022/9/2;San Antolín;San Antolín;Alonsotegi;Alonsotegi;Bizkaia;912;43,245186;-2,988701
