|Catastro|ReferenciaCP|IdCliente|Producto|Fecha|TipoProducto|AltaCliente
106640|087 2000501120UN02UN0UN|087 2000501120|6105422|N01|2020-06-03|Servicio principal|2020-02-16 00:00:00
205094|033 2006900750UN040B0UN|033 2006900750|6125687|N01|2020-05-03|Servicio sin cuota|2020-03-19 00:00:00
21253|008 0105902010UN060C0UN|008 0105902010|6098841|N06|2020-03-03|Servicio principal|2020-01-11 00:00:00
149999|002 4802008896UN040C0UN|002 4802008896|6115427|N06|2020-05-03|Servicio principal|2020-02-26 00:00:00
58564|010 2007902403UN03CN0UN|010 2007902403|6103115|N04|2020-05-03|Servicio principal|2020-01-25 00:00:00
167664|003 2090200600UN010C0UN|003 2090200600|6118145|N06|2020-05-03|Servicio principal|2020-03-01 00:00:00
275831|078 4802004120UN07IZ0UN|078 4802004120|6100111|N04|2020-05-03|Servicio principal|2020-01-18 00:00:00
121423|005A2007401640UN030C0UN|005A2007401640|2305530|N04|2020-04-03|Servicio principal|2020-02-12 00:00:00
12394|027 0100202420UN020B0UN|027 0100202420|6097637|N04|2020-04-03|Servicio principal|2020-01-09 00:00:00
242431|004 4802008720UNPBUN001|004 4802008720|6133971|N06|2020-05-03|Servicio principal|2020-04-18 00:00:00
39299|026 4802003260UN080D0UN|026 4802003260|4163892|N01|2020-06-03|Servicio sin cuota|2020-01-19 00:00:00
189903|004 2003201842UN040A0UN|004 2003201842|6122564|N04|2020-04-03|Servicio principal|2020-03-18 00:00:00
233142|008 4807800250UN040C0UN|008 4807800250|409451|N06|2020-05-03|Servicio principal|2020-04-26 00:00:00
86110|016 0819600232UNLOUN001|016 0819600232|6106541|N01|2020-06-03|Servicio principal|2020-02-02 00:00:00
28409|014 3114900001UN050A0UN|014 3114900001|6099661|N01|2020-05-03|Servicio principal|2020-01-16 00:00:00
53073|002A4804300015UN02DR0UN|002A4804300015|6102122|N06|2020-04-03|Servicio principal|2020-01-29 00:00:00
79294|008 3120103030UNPBUN002|008 3120103030|6105739|N06|2020-02-03|Servicio principal|2020-01-30 00:00:00
203913|008 4802007880UN060C0UN|008 4802007880|6125473|N01|2020-04-03|Servicio principal|2020-03-20 00:00:00
322350|009 2005504260UN03IZ0UN|009 2005504260|6105988|N04|2020-03-03|Servicio principal|2020-01-30 00:00:00
238153|030 2608900015E1040B0UN|030 2608900015|6101388|N06|2020-02-03|Servicio sin cuota|2020-01-18 00:00:00
265417|059 0101007900UNPBUN0UN|059 0101007900|6138284|N06|2020-06-03|Servicio sin cuota|2020-05-30 00:00:00
304174|027 2004001805UNUNUNPOR|027 2004001805|201015|N01|2020-02-03|Servicio principal|2020-01-30 00:00:00
319660|009 4800100065UNPBUN002|009 4800100065|6112257|N01|2020-04-03|Servicio principal|2020-02-23 00:00:00
235037|005 3902000053UN010C0UN|005 3902000053|6101301|N06|2020-04-03|Servicio sin cuota|2020-01-18 00:00:00
221574|003 4807700018UN03UN0UN|003 4807700018|6097793|N04|2020-04-03|Servicio principal|2020-01-12 00:00:00
307698|007 4802003050UN04IZ0UN|007 4802003050|6138507|N06|2020-05-03|Servicio principal|2020-05-02 00:00:00
154049|008 2005502340UN04DR0UN|008 2005502340|6116007|N01|2020-05-03|Servicio sin cuota|2020-02-26 00:00:00
85592|003 4801500208UN01IZ0UN|003 4801500208|6106500|N01|2020-04-03|Servicio sin cuota|2020-02-01 00:00:00
30565|004 2005901210UN04IZ0UN|004 2005901210|275717|N01|2020-05-03|Servicio principal|2020-01-19 00:00:00
168120|002 2000901791UN060A0UN|002 2000901791|6118332|N04|2020-06-03|Servicio principal|2020-02-29 00:00:00
35304|012 2006301106UN04DR0UN|012 2006301106|1570079|N06|2020-05-03|Servicio principal|2020-02-19 00:00:00
36194|018 4802005545UN040C0UN|018 4802005545|6100544|N06|2020-05-03|Servicio principal|2020-01-16 00:00:00
257818|028 2608900141E1PBUN001|028 2608900141|6106523|N04|2020-03-03|Servicio principal|2020-01-31 00:00:00
119723|014B2512000200UN03UN004|014B2512000200|6110921|N06|2020-05-03|Servicio sin cuota|2020-02-10 00:00:00
172838|051 4802004630UN04IZ0UN|051 4802004630|6119105|N01|2020-05-03|Servicio principal|2020-03-07 00:00:00
182851|003 2003001203UN02IZ0UN|003 2003001203|6121046|N04|2020-04-03|Servicio principal|2020-03-11 00:00:00
137722|001 2001801503UN040A0UN|001 2001801503|6113547|N01|2020-06-03|Servicio principal|2020-02-23 00:00:00
125606|004 2007902707UN050A0UN|004 2007902707|506592|N04|2020-05-03|Servicio principal|2020-02-16 00:00:00
130942|002 3123200029E7010A0UN|002 3123200029|6112523|N01|2020-04-03|Servicio principal|2020-02-17 00:00:00
325826|002 0105904888UN010D0UN|002 0105904888|464914|N06|2020-03-03|Servicio principal|2020-01-22 00:00:00
185530|005 3120101480UN04DR0UN|005 3120101480|6121591|N01|2020-05-03|Servicio principal|2020-03-14 00:00:00
314530|031 0105904522UNPBUN0UN|031 0105904522|2260009|N06|2020-04-03|Servicio sin cuota|2020-03-24 00:00:00
107099|004A4803400009UNPBUN001|004A4803400009|809624|N06|2020-04-03|Servicio principal|2020-02-09 00:00:00
35775|014 0105904679UN140C0UN|014 0105904679|2297748|N06|2020-02-03|Servicio principal|2020-01-17 00:00:00
153094|002 2001901250UN01UN0UN|002 2001901250|6115892|N01|2020-04-03|Servicio principal|2020-03-08 00:00:00
128277|001 3101000013UN010B0UN|001 3101000013|6112145|N06|2020-04-03|Servicio sin cuota|2020-03-01 00:00:00
83253|016 3120101840UN010D0UN|016 3120101840|6106238|N04|2020-04-03|Servicio principal|2020-01-30 00:00:00
42458|017 4802005180UN010D0UN|017 4802005180|6101131|N06|2020-04-03|Servicio principal|2020-01-18 00:00:00
213316|002 2004606003UNPBUN002|002 2004606003|4224970|N06|2020-05-03|Servicio principal|2020-03-24 00:00:00
219973|024 0105904871UN050D0UN|024 0105904871|1752932|N06|2020-05-03|Servicio principal|2020-03-27 00:00:00
4994|015 4809000106UN020D0UN|015 4809000106|3497126|N06|2020-02-03|Servicio principal|2020-01-09 00:00:00
195675|049 3107000146UNPBUN001|049 3107000146|6123849|N04|2020-06-03|Servicio principal|2020-03-25 00:00:00
18386|008 4802003210UN01DR0UN|008 4802003210|3479886|N06|2020-05-03|Servicio principal|2020-01-09 00:00:00
298032|167 0818000511E101UN003|167 0818000511|6116767|N01|2020-03-03|Servicio principal|2020-03-01 00:00:00
273111|089 1702301070EA02UN001|089 1702301070|6140194|N04|2020-06-03|Servicio principal|2020-05-09 00:00:00
204126|001A4802002830UN040A0UN|001A4802002830|4256385|N06|2020-05-03|Servicio principal|2020-03-15 00:00:00
213536|020 4808200151UNPB0A0UN|020 4808200151|2015041|N06|2020-05-03|Servicio principal|2020-03-24 00:00:00
228355|009 0105904699UN030A0UN|009 0105904699|6129822|N01|2020-05-03|Servicio principal|2020-04-03 00:00:00
138195|017 2005901410UN050B0UN|017 2005901410|3436187|N06|2020-03-03|Servicio principal|2020-02-16 00:00:00
262685|007 4807100051UN02IZ0UN|007 4807100051|6137751|N01|2020-05-03|Servicio sin cuota|2020-04-30 00:00:00
262023|051 4802007320UN010B0UN|051 4802007320|6140618|N01|2020-06-03|Servicio principal|2020-05-08 00:00:00
290859|014 0807301440UNENUN001|014 0807301440|6115860|N06|2020-06-03|Servicio sin cuota|2020-03-07 00:00:00
138311|032 2001801506UN020H0UN|032 2001801506|2155526|N06|2020-06-03|Servicio principal|2020-02-17 00:00:00
108353|013 4802004657UN06DR0UN|013 4802004657|6109506|N06|2020-05-03|Servicio principal|2020-02-06 00:00:00
267504|011 4803600030UN010A0UN|011 4803600030|818871|N06|2020-06-03|Servicio principal|2020-03-05 00:00:00
2319|001 4807800023UN05DR0UN|001 4807800023|6093260|N01|2020-06-03|Servicio sin cuota|2020-01-12 00:00:00
308541|002 2006904080E4050C0UN|002 2006904080|6080498|N01|2020-05-03|Servicio principal|2020-02-12 00:00:00
74900|004 2006900650UN090B0UN|004 2006900650|2236835|N06|2020-04-03|Servicio principal|2020-01-26 00:00:00
7624|007 0105904760IZ05UN00B|007 0105904760|6096817|N06|2020-02-03|Servicio principal|2020-01-10 00:00:00
218041|016 2002801104UN060C0UN|016 2002801104|6127744|N04|2020-04-03|Servicio principal|2020-03-27 00:00:00
67200|001 3120102455UN060D0UN|001 3120102455|6104203|N06|2020-02-03|Servicio sin cuota|2020-01-25 00:00:00
85217|005 4804600067UN020A0UN|005 4804600067|166889|N06|2020-03-03|Servicio principal|2020-01-30 00:00:00
105030|013 2002807006UNUNUNPOR|013 2002807006|2083182|N04|2020-06-03|Servicio principal|2020-02-06 00:00:00
168994|004 0103601255UN020B00D|004 0103601255|6118441|N01|2020-06-03|Servicio principal|2020-03-05 00:00:00
304952|036 2000501170UNPBUN0UN|036 2000501170|6103677|N06|2020-04-03|Servicio principal|2020-01-23 00:00:00
59575|014 4802003997UN080A0UN|014 4802003997|954429|N06|2020-05-03|Servicio principal|2020-01-22 00:00:00
97308|004 4803600111UN02IZ0UN|004 4803600111|6102907|N01|2020-06-03|Servicio principal|2020-02-12 00:00:00
188768|014 4803700017UNPBUN0UN|014 4803700017|1658229|N04|2020-05-03|Servicio principal|2020-03-08 00:00:00
307977|014 2006905050UN010B0UN|014 2006905050|6137327|N06|2020-06-03|Servicio principal|2020-05-13 00:00:00
318788|007 4808200007UN010D0UN|007 4808200007|6111131|N06|2020-04-03|Servicio principal|2020-02-13 00:00:00
92948|041 4802005565UN04IZ0UN|041 4802005565|6107413|N01|2020-03-03|Servicio sin cuota|2020-02-07 00:00:00
151699|004 4808500043UN01DR0UN|004 4808500043|6115666|N04|2020-03-03|Servicio principal|2020-02-26 00:00:00
336238|084 0801901585UN01UN002|084 0801901585|6106546|N01|2020-03-03|Servicio principal|2020-02-06 00:00:00
279689|055 2001801504UN010F0UN|055 2001801504|3562664|N06|2020-02-03|Servicio principal|2020-01-30 00:00:00
94485|020 4802003720UNPBIZ0UN|020 4802003720|6107615|N01|2020-03-03|Servicio principal|2020-02-07 00:00:00
300333|012 4802003210UN060C0UN|012 4802003210|5176|N06|2020-06-03|Servicio principal|2020-05-31 00:00:00
283587|138 0801903435UN04UN002|138 0801903435|6100468|N01|2020-03-03|Servicio principal|2020-01-17 00:00:00
277617|005 4807300129UN01IZ0UN|005 4807300129|1978937|N06|2020-06-03|Servicio principal|2020-05-14 00:00:00
203223|010 2008001340UNPBDR0UN|010 2008001340|6097258|N04|2020-04-03|Servicio principal|2020-03-26 00:00:00
238729|001 2004501203UNPB0B0UN|001 2004501203|6112543|N01|2020-03-03|Servicio sin cuota|2020-02-19 00:00:00
54010|004 4801301290UNPBUN001|004 4801301290|6102552|N06|2020-05-03|Servicio principal|2020-01-23 00:00:00
322831|001 1706600086UN02UN003|001 1706600086|6120777|N01|2020-04-03|Servicio principal|2020-03-14 00:00:00
204931|005 4802001000UN080B0UN|005 4802001000|6117461|N01|2020-04-03|Servicio principal|2020-03-19 00:00:00
254943|004 4802000020UN060A0UN|004 4802000020|6038551|N06|2020-05-03|Servicio principal|2020-04-25 00:00:00
175617|006 2007207003UN040E0UN|006 2007207003|6119579|N01|2020-04-03|Servicio principal|2020-03-27 00:00:00
312666|005 4802002810UN04IZ0UN|005 4802002810|6113773|N01|2020-03-03|Servicio principal|2020-02-28 00:00:00
222738|001 4801500191UNPBUN001|001 4801500191|6108313|N01|2020-05-03|Servicio principal|2020-02-03 00:00:00
261314|014 4804400115UNPBDR0UN|014 4804400115|2085486|N06|2020-05-03|Servicio principal|2020-01-26 00:00:00
105356|002B2007301310UN010A0UN|002B2007301310|906360|N01|2020-03-03|Servicio principal|2020-02-09 00:00:00
31272|002 4808400014UNPBUN002|002 4808400014|3599429|N06|2020-06-03|Servicio principal|2020-01-12 00:00:00
29763|011 4802900006UN010A0UN|011 4802900006|1530298|N06|2020-04-03|Servicio principal|2020-01-11 00:00:00
173407|006 4804300069UN010B0UN|006 4804300069|2006549|N06|2020-05-03|Servicio principal|2020-03-08 00:00:00
42905|020 4803200042UN03DR0UN|020 4803200042|6101256|N04|2020-05-03|Servicio principal|2020-01-17 00:00:00
253572|004 4802005070UNPBIZ0UN|004 4802005070|2240546|N06|2020-06-03|Servicio principal|2020-04-25 00:00:00
265146|015 3120100705UN04IZ0UN|015 3120100705|6138293|N06|2020-06-03|Servicio principal|2020-05-01 00:00:00
